Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
21947208,"Claudius the God and His Wife Messalina (Claudius, #2)",Robert Graves,"Graves, Robert","Seneca, Suetonius","=""""","=""""",0,4.21,Vintage Books,Paperback,585,1962,1934,,2023/07/06,"to-read, 0, greeks-romans-etc","to-read (#1352), 0 (#45), greeks-romans-etc (#87)",to-read,,,,0,1
1025695,The Cambridge Companion to Greek Mythology (Cambridge Companions to Literature),Roger D. Woodard,"Woodard, Roger D.",,"=""0521607264""","=""9780521607261""",0,4.00,Cambridge University Press,Paperback,554,2008,2007,,2023/07/27,"to-read, cambridge-companions, greeks-romans-etc, mythology","to-read (#1652), cambridge-companions (#4), greeks-romans-etc (#86), mythology (#63)",to-read,,,,0,0
21136090,The Cambridge Companion to Early Greek Philosophy,Anthony A. Long,"Long, Anthony A.",,"=""0511361416""","=""9780511361418""",0,3.89,Cambridge University Press,Kindle Edition,468,1999,1995,,2023/07/27,"to-read, cambridge-companions, greeks-romans-etc, philosophy","to-read (#1651), cambridge-companions (#3), greeks-romans-etc (#85), philosophy (#72)",to-read,,,,0,0
80382,The Cambridge Companion to Foucault (Cambridge Companions to Philosophy),Gary Gutting,"Gutting, Gary",,"=""0521600537""","=""9780521600538""",0,3.67,Cambridge University Press,Paperback,486,2005,1994,,2017/12/25,"to-read, philosophy, foucault, cambridge-companions","to-read (#246), philosophy (#65), foucault (#10), cambridge-companions (#1)",to-read,,,,0,0
621898,The Cambridge Companion to Aristotle,Jonathan Barnes,"Barnes, Jonathan",,"=""0521422949""","=""9780521422949""",0,4.01,Cambridge University Press,Paperback,434,1995,1995,,2021/10/04,"to-read, greeks-romans-etc, cambridge-companions","to-read (#892), greeks-romans-etc (#15), cambridge-companions (#2)",to-read,,,,0,0
544021,The Cambridge Dictionary of Philosophy,Robert Audi,"Audi, Robert",,"=""052148328X""","=""9780521483285""",0,4.25,Cambridge University Press,Paperback,912,1995,1995,,2021/09/05,"to-read, philosophy, 0, dictionaries-and-encyclopedias","to-read (#850), philosophy (#9), 0 (#295), dictionaries-and-encyclopedias (#39)",to-read,,,,0,1
144937,The Idea of the Holy,Rudolf Otto,"Otto, Rudolf",John Wilfred Harvey,"=""0195002105""","=""9780195002102""",0,4.02,Oxford University Press,Paperback,232,1958,1917,,2021/10/15,"to-read, philosophy","to-read (#908), philosophy (#71)",to-read,,,,0,0
1505138,Five Stages of Greek Religion,Gilbert Murray,"Murray, Gilbert",,"=""0486425002""","=""9780486425009""",0,4.00,Dover Publications,Paperback,240,2003,1914,,2023/07/08,"to-read, greeks-romans-etc","to-read (#1475), greeks-romans-etc (#84)",to-read,,,,0,0
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Greg Bear, Carlo Pagetti","=""""","=""""",5,3.89,Signet Classics,Paperback,118,2002,1895,2012/02/25,2012/02/13,novels,novels (#224),read,,,,1,0
36651542,The Great God Pan and Other Horror Stories,Arthur Machen,"Machen, Arthur",Aaron Worth,"=""0198813163""","=""9780198813163""",0,3.91,Oxford University Press,Hardcover,389,2018,1894,,2021/03/10,"to-read, short-stories, horror","to-read (#823), short-stories (#44), horror (#2)",to-read,,,,0,0
35132783,The Wizard of Meudon,Éliphas Lévi,"Lévi, Éliphas",,"=""1546563504""","=""9781546563501""",0,4.45,Galgalim Press,Paperback,342,2017,1862,,2023/05/24,"to-read, novels","to-read (#1164), novels (#223)",to-read,,,,0,0
64467729,Annemarie Heinrich : un cuerpo una luz un reflejo,HEINRICH ANNEMARIE,"ANNEMARIE, HEINRICH",,"=""9879395905""","=""9789879395905""",0,4.00,LARIVIERE,Paperback,0,2013,,,2023/08/05,"to-read, 0, photography","to-read (#1717), 0 (#207), photography (#9)",to-read,,,,0,1
118287,The Body in Pain: The Making and Unmaking of the World,Elaine Scarry,"Scarry, Elaine",,"=""0195049969""","=""9780195049961""",0,4.13,Oxford University Press,Paperback,400,1987,1985,,2017/03/22,"to-read, philosophy, 0, pain","to-read (#304), philosophy (#1), 0 (#289), pain (#9)",to-read,,,,0,1
51092826,Think Little: Essays (Counterpoints Series),Wendell Berry,"Berry, Wendell",,"=""""","=""""",0,4.43,Counterpoint,Kindle Edition,127,2019,,,2020/11/22,"to-read, essays","to-read (#620), essays (#45)",to-read,,,,0,0
49663570,I Don't Want to Die Poor: Essays,Michael Arceneaux,"Arceneaux, Michael",,"=""1982129301""","=""9781982129309""",0,3.74,Atria Books,Paperback,240,2020,2020,,2020/07/07,"to-read, essays","to-read (#547), essays (#44)",to-read,,,,0,0
34230648,The End of Eddy,Édouard Louis,"Louis, Édouard",Michael Lucey,"=""""","=""""",0,3.92,"Farrar, Straus and Giroux",Kindle Edition,209,2017,2014,,2021/02/27,"to-read, novels, queer-gender-etc","to-read (#792), novels (#222), queer-gender-etc (#63)",to-read,,,,0,0
